Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:C566021	Tuberous Sclerosis 2	结节性硬化2
Disease::MESH:C566031	Triglyceride Storage Disease, Type I	甘油三酯贮积病，I型
Disease::MESH:C566034	Trichoepitheliomas, Multiple Desmoplastic	毛发上皮瘤，多发性软骨瘤
Disease::MESH:C566056	Thrombophilia due to Activated Protein C Resistance	活化蛋白C抵抗导致的血栓形成
Disease::MESH:C566067	Forebrain Defects	前脑缺陷
Disease::MESH:C566082	Immunodeficiency due to Defect in CD3-Epsilon	CD3 Epsilon缺陷导致的免疫缺陷
Disease::MESH:C566108	Stormorken Syndrome	斯托默肯综合征
Disease::MESH:C566109	Storm Syndrome	风暴综合征
Disease::MESH:C566111	Stomatocytosis I	口细胞增多症I
Disease::MESH:C566112	Stiff Skin Syndrome	皮肤僵硬综合征
Disease::MESH:C566121	Orofacial Cleft 1	口腔面部裂1
Disease::MESH:C566123	Cirrhosis, Familial	肝硬化，家族性
Disease::MESH:C566130	Adrenal Insufficiency, Congenital	肾上腺功能不全，先天性
Disease::MESH:C566132	Chlorpropamide-Alcohol Flushing	氯丙酰胺酒精冲洗
Disease::MESH:C566168	Cardiomyopathy, Familial Restrictive, 1	心肌病，家族性限制性，1
Disease::MESH:C566173	Monocyte Esterase Deficiency	单核细胞酯酶缺乏症
Disease::MESH:C566179	Cancer, Familial, with In Vitro Radioresistance	具有体外放射抗性的家族性癌症
Disease::MESH:C566194	Brachydactyly, Type E	肱指，E型
Disease::MESH:C566196	Brachydactyly, Type B1	臂指，B1型
Disease::MESH:C566223	Blepharochalasis, Superior	眼睑松弛症，高级
Disease::MESH:C566236	Sveinsson Chorioretinal Atrophy	Sveinsson脉络膜视网膜萎缩
Disease::MESH:C566250	Aryl Hydrocarbon Hydroxylase Inducibility	芳香烃羟化酶诱导性
Disease::MESH:C566260	Apolipoprotein E, Deficiency or Defect of	载脂蛋白E，缺乏或缺陷
Disease::MESH:C566273	alpha-1-Antitrypsin Deficiency, Autosomal Recessive	α-1-抗胰蛋白酶缺乏，常染色体隐性
Disease::MESH:C566282	Spinal Arterial Venous Malformations with Cutaneous Hemangiomas	脊柱动静脉畸形伴皮肤血管瘤
Disease::MESH:C566283	Hemangiomatosis, Disseminated	血管瘤病，播散性
Disease::MESH:C566291	nothing	不存在
Disease::MESH:C566331	Hypercholesterolemia, Autosomal Recessive	高胆固醇血症，常染色体隐性
Disease::MESH:C566343	Hereditary Myopathy with Early Respiratory Failure	遗传性肌病伴早期呼吸衰竭
Disease::MESH:C566345	Acromelic Frontonasal Dysostosis	肢端部前鼻畸形
Disease::MESH:C566358	Xanthinuria, Type II	黄蛋白尿，II型
Disease::MESH:C566366	Deafness, Autosomal Recessive 4	耳聋，常染色体隐性4
Disease::MESH:C566368	Dyserythropoiesis, Congenital, with Internuclear Chromatin Bridges and Ultrastructurally Normal Erythroblast Heterochromatin	先天性红细胞生成障碍，具有核间染色质桥和超微结构正常的红细胞异染色质
Disease::MESH:C566369	Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema	脱水遗传性口吐症、假高钾血症和围产期水肿
Disease::MESH:C566379	Laryngotracheal Stenosis, Progressive, with Short Stature and Arthropathy	进行性喉气管狭窄，伴有矮小和关节病
Disease::MESH:C566403	Homocysteinemia	高同型半胱氨酸血症
Disease::MESH:C566404	Dermatitis, Atopic, 1	皮炎，特应性，1
Disease::MESH:C566415	Endplate Acetylcholinesterase Deficiency	终板乙酰胆碱酯酶缺乏症
Disease::MESH:C566417	Endotoxin Hyporesponsiveness	内毒素低反应性
Disease::MESH:C566419	Orofacial Cleft 2	口腔面部裂2
Disease::MESH:C566438	Ceroid Lipofuscinosis, Neuronal, 10	Ceroid脂褐症，神经元，10
Disease::MESH:C566443	Complement Component 7 Deficiency	补体成分7缺乏
Disease::MESH:C566449	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	吡哆醇5-磷酸原氧化酶缺乏症
Disease::MESH:C566450	Hyperparathyroidism 3	甲状旁腺功能亢进症3
Disease::MESH:C566478	Testicular Microlithiasis	睾丸微结石
Disease::MESH:C566482	nothing	不存在
Disease::MESH:C566492	Natural Killer Cell Deficiency, Familial Isolated	自然杀伤细胞缺乏症，家族隔离
Disease::MESH:C566506	Short QT Syndrome 1	短QT综合征1
Disease::MESH:C566544	Short Stature, Auditory Canal Atresia, Mandibular Hypoplasia, Skeletal Abnormalities	矮小、听管闭锁、下颌发育不良、骨骼异常
Disease::MESH:C566591	nothing	不存在
Disease::MESH:C566593	Hypomagnesemia 1, Intestinal	低镁血症1，肠道
Disease::MESH:C566610	Left-Right Axis Malformations	左右轴畸形
Disease::MESH:C566617	Vacuolar Neuromyopathy	液泡性神经肌病
Disease::MESH:C566635	Peroxisome Biogenesis Disorder, Complementation Group R	过氧化物酶体生物发生障碍，补体组R
Disease::MESH:C566636	Pten Hamartoma Tumor Syndrome With Granular Cell Tumor	Pten错构瘤肿瘤综合征伴颗粒细胞瘤
Disease::MESH:C566651	Iris Pigment Epithelium Anomalies	虹膜色素上皮异常
Disease::MESH:C566719	Retinal Cone Dystrophy 1	视网膜锥体营养不良1
Disease::MESH:C566730	nothing	不存在
Disease::MESH:C566737	Ptosis, Hereditary Congenital 1	Ptosis，遗传性先天性1
Disease::MESH:C566740	Pterygium Of Conjunctiva And Cornea	结膜和角膜翼状胬肉
Disease::MESH:C566759	Primary Release Disorder Of Platelets	血小板原发性释放障碍
Disease::MESH:C566780	Actinic Prurigo	光化Prurigo
Disease::MESH:C566784	Polydactyly, Preaxial III	多指，前轴III
Disease::MESH:C566796	Platelet Signal Processing Defect	血小板信号处理缺陷
Disease::MESH:C566800	Platelet Aggregation, Spontaneous	血小板聚集，自发
Disease::MESH:C566808	Phagocytosis, Plasma-Related Defect in	吞噬作用，血浆相关缺陷
Disease::MESH:C566822	Perry Syndrome	佩里综合征
Disease::MESH:C566823	Parkinson Disease, Familial, Type 1	帕金森病，家族性，1型
Disease::MESH:C566826	Parietal Foramina	顶叶孔
Disease::MESH:C566836	Pancytopenia and Occlusive Vascular Disease	全血细胞减少症与闭塞性血管疾病
Disease::MESH:C566844	Thanatophoric Dysplasia, Type I	Thanathoric发育不良，I型
Disease::MESH:C566847	nothing	不存在
Disease::MESH:C566852	Hypothyroidism, Congenital, Nongoitrous, 2	甲状腺机能减退症，先天性，非发育性，2
Disease::MESH:C566857	Ceroid Lipofuscinosis, Neuronal, 2	Ceroid脂褐症，神经元，2
Disease::MESH:C566870	Tumoral Calcinosis, Hyperphosphatemic, Familial	肿瘤钙化，高磷酸盐血症，家族性
Disease::MESH:C566881	Respiratory Distress Syndrome In Premature Infants	早产儿呼吸窘迫综合征
Disease::MESH:C566889	Glycogen Storage Disease IIIA	糖原贮积病IIIA
Disease::MESH:C566895	Gangliosidosis, Generalized GM1, Type I, with Cardiac Involvement	神经节苷脂病，广义GM1，I型，心脏受累
Disease::MESH:C566897	Plasminogen Deficiency, Type I	纤溶酶原缺乏症，I型
Disease::MESH:C566906	Cakut	卡库特
Disease::MESH:C566917	Glycogen Storage Disease 0, Muscle	糖原储存病0，肌肉
Disease::MESH:C566928	Tyrosine Kinase 2 Deficiency	酪氨酸激酶2缺乏
Disease::MESH:C566933	Osteopetrosis, Autosomal Recessive 4	骨质疏松症，常染色体隐性4
Disease::MESH:C566945	Trifunctional Protein Deficiency With Myopathy And Neuropathy	三功能蛋白缺乏与肌病和神经病
Disease::MESH:C566985	Microphthalmia, Syndromic 10	小眼症，综合征10
Disease::MESH:C566991	Cleft Palate, Isolated, And Mental Retardation	腭裂、孤立性和智力低下
Disease::MESH:C566996	Cardiac Arrhythmia, Ankyrin-B-Related	心律失常，Ankyrin-B相关
Disease::MESH:C567009	Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation	白质脑病伴脑干和脊髓受累和乳酸升高
Disease::MESH:C567041	nothing	不存在
Disease::MESH:C567059	Multiple Endocrine Neoplasia, Type IV	多发性内分泌肿瘤，IV型
Disease::MESH:C567079	nothing	不存在
Disease::MESH:C567088	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	血管病，遗传性，肾病，动脉瘤和肌肉痉挛
Disease::MESH:C567089	Lipoprotein Glomerulopathy	脂蛋白肾小球疾病
Disease::MESH:C567091	Skin-Hair-Eye Pigmentation, Variation In, 9	皮肤毛发眼睛色素沉着，变异，9
Disease::MESH:C567102	Methemoglobinemia Type IV	IV型高铁血红蛋白血症
Disease::MESH:C567108	Hypogonadism and Testicular Atrophy	性腺功能减退和睾丸萎缩
Disease::MESH:C567125	Combined Saposin Deficiency	联合皂苷缺乏症
Disease::MESH:C567159	Spherocytosis, Type 1	球细胞增多症，1型
Disease::MESH:C567166	Leukodystrophy, Hypomyelinating, 5	白质营养不良，髓鞘形成不足，5
Disease::MESH:C567172	Osteopenic Nonfracture Syndrome	骨质疏松性非骨折综合征
Disease::MESH:C567203	Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract	多神经病、听力丧失、共济失调、视网膜色素变性和白内障
Disease::MESH:C567258	Hypoadiponectinemia	低脂联素血症
Disease::MESH:C567260	Neutropenia, Severe Congenital, Autosomal Recessive 4	中性粒细胞减少，严重先天性，常染色体隐性4
Disease::MESH:C567296	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant	高胡萝卜素血症和维生素A缺乏，常染色体显性
Disease::MESH:C567307	Complement Component 6 Deficiency	补体成分6缺乏
Disease::MESH:C567308	C6 Deficiency, Subtotal	C6缺陷，小计
Disease::MESH:C567320	Bone Fragility with Contractures, Arterial Rupture, and Deafness	骨脆性伴收缩、动脉破裂和耳聋
Disease::MESH:C567355	CD59 Deficiency	CD59缺陷
Disease::MESH:C567379	MYD88 Deficiency	MYD88缺陷
Disease::MESH:C567382	Crouzon Syndrome With Acanthosis Nigricans	Crouzon综合征伴黑刺
Disease::MESH:C567401	Cerebroretinal Microangiopathy with Calcifications and Cysts	伴有钙化和囊肿的视网膜微血管病
Disease::MESH:C567410	Orofacial Cleft 11	口腔面部裂11
Disease::MESH:C567425	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	脱发、神经缺陷和内分泌病综合征
Disease::MESH:C567437	Congenital Disorder Of Glycosylation, Type In	先天性糖基化障碍，I型
Disease::MESH:C567453	Riddle Syndrome	Riddle综合征
Disease::MESH:C567467	Deafness, Cataract, Retinitis Pigmentosa, And Sperm Abnormalities	耳聋、白内障、视网膜色素变性和精子异常
Disease::MESH:C567484	Mental Retardation, X-Linked, Syndromic, Christianson Type	精神发育迟滞，X-连锁，综合征，克里斯蒂安森型
Disease::MESH:C567516	Temple-Baraitser Syndrome	Temple Baraitser综合征
Disease::MESH:C567520	Elliptocytosis 1	椭圆细胞增多症1
Disease::MESH:C567546	Corneal Dystrophy, Posterior Amorphous	角膜营养不良，后部无定形
Disease::MESH:C567547	Corneal Dystrophy, Subepithelial Mucinous	角膜营养不良，上皮下粘液性
Disease::MESH:C567552	Spondylodysplasia And Premature Pubarche	脊椎发育不良与早熟
Disease::MESH:C567555	Leukocyte Adhesion Deficiency, Type III	白细胞粘附缺陷，III型
Disease::MESH:C567570	Mitchell-Riley Syndrome	Mitchell-Riley综合征
Disease::MESH:C567596	Mineralocorticoid Deficiency, Isolated	矿物皮质素缺乏，孤立
Disease::MESH:C567640	Plasminogen Activator Inhibitor-1 Deficiency	纤溶酶原激活物抑制剂-1缺乏
Disease::MESH:C567642	Lipodystrophy, Congenital Generalized, Type 4	脂肪营养不良，先天性全身性，4型
Disease::MESH:C567652	Bile Acid Malabsorption, Primary	胆汁酸吸收不良，原发性
Disease::MESH:C567658	Polymicrogyria, Asymmetric	不对称多微胶质
Disease::MESH:C567682	Tsc2 Angiomyolipomas, Renal, Modifier Of	Tsc2血管平滑肌脂肪瘤，肾，修饰
Disease::MESH:C567703	Diarrhea 5, With Tufting Enteropathy, Congenital	腹泻5，伴簇状肠病，先天性
Disease::MESH:C567712	Retinitis Pigmentosa, Concentric	同心性色素性视网膜炎
Disease::MESH:C567727	nothing	不存在
Disease::MESH:C567730	Parkinsonism-Dystonia, Infantile	帕金森氏综合征，婴儿
Disease::MESH:C567751	Hypotrichosis And Recurrent Skin Vesicles	毛发减少症和复发性皮肤囊
Disease::MESH:C567752	Hemophagocytic Lymphohistiocytosis, Familial, 5	噬血细胞淋巴瘤，家族性，5
Disease::MESH:C567767	Nijmegen Breakage Syndrome-Like Disorder	奈梅亨断裂综合征样障碍
Disease::MESH:C567782	Amyloidosis, Hereditary, Transthyretin-Related	淀粉样变性，遗传性，转甲状腺素相关
Disease::MESH:C567786	Prostaglandin-Endoperoxide Synthase 1 Deficiency, Platelet	前列腺素内过氧化物合酶1缺乏，血小板
Disease::MESH:C567791	Neurodegeneration Due To Cerebral Folate Transport Deficiency	脑叶酸转运缺陷引起的神经变性
Disease::MESH:C567804	nothing	不存在
Disease::MESH:C567863	Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi	先天性脂肪瘤过度生长、血管畸形和表皮性尼维斯
Disease::MESH:C567886	Xeroderma Pigmentosum, Complementation Group C	色素性干皮病，补体组C
Disease::MESH:C567893	nothing	不存在
Disease::MESH:C567906	Mental Retardation, X-Linked 1	智力低下，X-连锁1
Disease::MESH:C567924	Infantile Epileptic-Dyskinetic Encephalopathy	婴儿癫痫性运动障碍性脑病
Disease::MESH:C567932	Opitz GBBB Syndrome, X-Linked	Opitz GBBB综合征，X-连锁
Disease::MESH:C567934	Thyroid Hormone Resistance, Generalized, Autosomal Dominant	甲状腺激素抵抗，全身性，常染色体显性
Disease::MESH:C569516	Trichophyton infection	毛癣菌感染
Disease::MESH:C569627	Cold Hypersensitivity	感冒过敏
Disease::MESH:C572568	Complement Factor I Deficiency	补体因子I缺乏
Disease::MESH:C574275	Ectrodactyly	趾外
Disease::MESH:C579935	Autosomal Recessive Primary Microcephaly	常染色体隐性原发性小头畸形
Disease::MESH:C579969	Cap Myopathy	Cap肌病
Disease::MESH:C580003	Combined Pituitary Hormone Deficiency	垂体激素综合缺乏
Disease::MESH:C580055	Early-Onset Glaucoma	早期发病青光眼
Disease::MESH:C580062	Epidermal Nevus	表皮痣
Disease::MESH:C580065	Episodic Ataxia	发作性共济失调
Disease::MESH:C580075	Familial Acute Myeloid Leukemia with Mutated Cebpa	家族性急性髓细胞白血病伴突变的Cebpa
Disease::MESH:C580083	nothing	不存在
Disease::MESH:C580280	Congenital Methemoglobinemia	先天性高铁血红蛋白血症
Disease::MESH:C580316	Myofibrillar Myopathy	肌纤维性肌病
Disease::MESH:C580329	Opticospinal Multiple Sclerosis	视脊髓多发性硬化
Disease::MESH:C580334	Nonsyndromic Deafness	非综合征性耳聋
Disease::MESH:C580335	Nonsyndromic Holoprosencephaly	非综合征性全头畸形
Disease::MESH:C580364	Pdgfra-Associated Chronic Eosinophilic Leukemia	Pdgfra相关性慢性嗜酸性粒细胞白血病
Disease::MESH:C580383	Pontocerebellar Hypoplasia	桥小脑发育不良
Disease::MESH:C580424	Ring Chromosome 20 Syndrome	环染色体20综合征
Disease::MESH:C580472	nothing	不存在
Disease::MESH:C580477	Surfactant Dysfunction	表面活性剂功能障碍
Disease::MESH:C580539	X-Linked Infantile Nystagmus	X-连锁婴儿眼球震颤
Disease::MESH:C585640	Activated PI3K-delta Syndrome	激活的PI3Kδ综合征
Disease::MESH:D000007	Abdominal Injuries	腹部损伤
Disease::MESH:D000008	Abdominal Neoplasms	腹部肿瘤
Disease::MESH:D000012	Abetalipoproteinemia	无脂蛋白血症
Disease::MESH:D000013	Congenital Abnormalities	先天畸形
Disease::MESH:D000014	Abnormalities, Drug-Induced	异常，药物诱导
Disease::MESH:D000015	Abnormalities, Multiple	异常，多个
Disease::MESH:D000022	Abortion, Spontaneous	自然流产
Disease::MESH:D000026	Abortion, Habitual	堕胎，习惯性
Disease::MESH:D000027	Abortion, Incomplete	流产，未完成
Disease::MESH:D000030	Abortion, Missed	流产，错过
Disease::MESH:D000031	Abortion, Septic	流产，败血症
Disease::MESH:D000033	Abortion, Threatened	堕胎，威胁
Disease::MESH:D000037	Abruptio Placentae	胎盘早剥
Disease::MESH:D000038	Abscess	脓肿
Disease::MESH:D000039	Peritonsillar Abscess	扁桃体周围脓肿
Disease::MESH:D000052	Acanthosis Nigricans	尼日利亚棘皮病
Disease::MESH:D000069	Acculturation	文化适应
Disease::MESH:D000069836	Degloving Injuries	除气损伤
Disease::MESH:D000071	nothing	不存在
Disease::MESH:D000072	Acedapsone	乙酰氨苯砜
Disease::MESH:D000073	Acenaphthenes	环烷烃类
Disease::MESH:D000075	Acepromazine	乙酰丙嗪
Disease::MESH:D000077	Acetabulum	髋臼
Disease::MESH:D000077260	Sleepiness	嗜睡
Disease::MESH:D000077329	Agammaglobulinaemia Tyrosine Kinase	无丙种球蛋白血症酪氨酸激酶
Disease::MESH:D000079	Acetaldehyde	乙醛
Disease::MESH:D000080	Acetals	缩醛
Disease::MESH:D000081	Acetamides	乙酰胺
Disease::MESH:D000081207	Primary Immunodeficiency Diseases	原发性免疫缺陷病
Disease::MESH:D000126	Achlorhydria	无氯虫属
Disease::MESH:D000130	Achondroplasia	软骨发育不全
Disease::MESH:D000137	Acid-Base Imbalance	酸碱失衡
Disease::MESH:D000138	Acidosis	酸中毒
Disease::MESH:D000140	Acidosis, Lactic	酸中毒，乳酸
Disease::MESH:D000141	Acidosis, Renal Tubular	酸中毒，肾小管
Disease::MESH:D000142	Acidosis, Respiratory	酸中毒，呼吸性
Disease::MESH:D000151	Acinetobacter Infections	不动杆菌感染
Disease::MESH:D000152	Acne Vulgaris	寻常痤疮
Disease::MESH:D000160	Vestibulocochlear Nerve Diseases	前庭耳蜗神经疾病
Disease::MESH:D000163	Acquired Immunodeficiency Syndrome	获得性免疫缺陷综合征
Disease::MESH:D000168	Acrocephalosyndactylia	顶头并指畸形
Disease::MESH:D000169	Acrodermatitis	肢端皮炎
Disease::MESH:D000170	Acrodynia	肢痛
Disease::MESH:D000172	Acromegaly	肢端肥大症
